center_idx,win_label,win_i,start_idx,end_idx,T2,Q,T2_limit,Q_limit,is_T2_alarm,is_Q_alarm,is_alarm
128.0,0.0,0.0,0.0,255.0,15.56851324784183,0.9031221874755588,79.27089426265063,2.4378947095111103,0,0,0
384.0,0.0,1.0,256.0,511.0,13.92594678363314,1.40468588626307,79.27089426265063,2.4378947095111103,0,0,0
640.0,0.0,2.0,512.0,767.0,8.963213277909906,0.15708894242412574,79.27089426265063,2.4378947095111103,0,0,0
896.0,0.0,3.0,768.0,1023.0,10.68026122451721,0.8004904859768203,79.27089426265063,2.4378947095111103,0,0,0
1152.0,0.0,4.0,1024.0,1279.0,12.793849262166985,0.9766895955950146,79.27089426265063,2.4378947095111103,0,0,0
1408.0,0.0,5.0,1280.0,1535.0,8.771978968426337,0.47131459643660367,79.27089426265063,2.4378947095111103,0,0,0
1664.0,0.0,6.0,1536.0,1791.0,6.94708444368612,0.2634274374570524,79.27089426265063,2.4378947095111103,0,0,0
1920.0,0.0,7.0,1792.0,2047.0,9.111185581433388,0.5062332492957662,79.27089426265063,2.4378947095111103,0,0,0
2176.0,0.0,8.0,2048.0,2303.0,7.645844423471409,0.9757061471383127,79.27089426265063,2.4378947095111103,0,0,0
2432.0,0.0,9.0,2304.0,2559.0,4.813021374068697,0.33580179064735705,79.27089426265063,2.4378947095111103,0,0,0
2688.0,0.0,10.0,2560.0,2815.0,9.035159861255657,0.15972143308771514,79.27089426265063,2.4378947095111103,0,0,0
2944.0,0.0,11.0,2816.0,3071.0,6.943224676110641,0.6887097328184095,79.27089426265063,2.4378947095111103,0,0,0
3200.0,0.0,12.0,3072.0,3327.0,5.93041880039144,0.1991816098703902,79.27089426265063,2.4378947095111103,0,0,0
3456.0,0.0,13.0,3328.0,3583.0,6.549838174837528,0.134709183579166,79.27089426265063,2.4378947095111103,0,0,0
3712.0,0.0,14.0,3584.0,3839.0,8.832762458335592,0.7555654068112496,79.27089426265063,2.4378947095111103,0,0,0
3968.0,0.0,15.0,3840.0,4095.0,10.694235925103781,0.9374265096642368,79.27089426265063,2.4378947095111103,0,0,0
4224.0,0.0,16.0,4096.0,4351.0,8.649491790829869,4.823791890553273,79.27089426265063,2.4378947095111103,0,1,1
4480.0,0.0,17.0,4352.0,4607.0,11.048367506356822,0.9535807485211245,79.27089426265063,2.4378947095111103,0,0,0
4736.0,0.0,18.0,4608.0,4863.0,74.62427298320891,0.32630478973257515,79.27089426265063,2.4378947095111103,0,0,0
4992.0,0.0,19.0,4864.0,5119.0,6.894848053821512,1.5094677122769031,79.27089426265063,2.4378947095111103,0,0,0
5248.0,0.0,20.0,5120.0,5375.0,7.814090802359753,0.7252099680498779,79.27089426265063,2.4378947095111103,0,0,0
5504.0,0.0,21.0,5376.0,5631.0,8.796960021976911,0.30611360164402396,79.27089426265063,2.4378947095111103,0,0,0
5760.0,0.0,22.0,5632.0,5887.0,5.801275369928751,0.9042056478523965,79.27089426265063,2.4378947095111103,0,0,0
6016.0,0.0,23.0,5888.0,6143.0,8.658677043146888,0.1643438385155927,79.27089426265063,2.4378947095111103,0,0,0
6272.0,0.0,24.0,6144.0,6399.0,6.795225571154147,0.2679422819026511,79.27089426265063,2.4378947095111103,0,0,0
6528.0,0.0,25.0,6400.0,6655.0,8.726047878848286,0.27718909931951086,79.27089426265063,2.4378947095111103,0,0,0
6784.0,0.0,26.0,6656.0,6911.0,6.814301156815959,0.4154617265048535,79.27089426265063,2.4378947095111103,0,0,0
7040.0,0.0,27.0,6912.0,7167.0,10.085898272714115,1.0517321466865428,79.27089426265063,2.4378947095111103,0,0,0
7296.0,0.0,28.0,7168.0,7423.0,8.705177670363298,1.4971117227483888,79.27089426265063,2.4378947095111103,0,0,0
7552.0,0.0,29.0,7424.0,7679.0,10.889805148626158,0.024094739079128135,79.27089426265063,2.4378947095111103,0,0,0
7808.0,0.0,30.0,7680.0,7935.0,12.21554591715305,0.1518524322395245,79.27089426265063,2.4378947095111103,0,0,0
8064.0,0.0,31.0,7936.0,8191.0,4.745295212997881,0.12702720641501145,79.27089426265063,2.4378947095111103,0,0,0
8320.0,0.0,32.0,8192.0,8447.0,9.245328939670896,0.5464430182492336,79.27089426265063,2.4378947095111103,0,0,0
8576.0,0.0,33.0,8448.0,8703.0,5.893260751146855,1.1469780597550878,79.27089426265063,2.4378947095111103,0,0,0
8832.0,0.0,34.0,8704.0,8959.0,6.729700297157942,1.4001370842529868,79.27089426265063,2.4378947095111103,0,0,0
9088.0,0.0,35.0,8960.0,9215.0,5.860844793460176,0.6476361513925529,79.27089426265063,2.4378947095111103,0,0,0
9344.0,0.0,36.0,9216.0,9471.0,8.713585272040696,1.0162103421867397,79.27089426265063,2.4378947095111103,0,0,0
9600.0,0.0,37.0,9472.0,9727.0,4.220718597303387,0.3839497057788688,79.27089426265063,2.4378947095111103,0,0,0
9856.0,0.0,38.0,9728.0,9983.0,8.328513190384474,0.1768692919561861,79.27089426265063,2.4378947095111103,0,0,0
10112.0,0.0,39.0,9984.0,10239.0,42.736958264240045,0.7028017660637335,79.27089426265063,2.4378947095111103,0,0,0
10368.0,0.0,40.0,10240.0,10495.0,6.194372121458901,0.10964764468048899,79.27089426265063,2.4378947095111103,0,0,0
10624.0,0.0,41.0,10496.0,10751.0,3.9024906320154815,0.4806447339759407,79.27089426265063,2.4378947095111103,0,0,0
10880.0,0.0,42.0,10752.0,11007.0,6.067246825388659,0.2988636652957653,79.27089426265063,2.4378947095111103,0,0,0
